ID,activity_code
2633,"11-480 - Athletic, Recreational, and Therapeutic Equipment"
2641,8-600 - Skylights
2649,1-560 - Temporary Barriers and Enclosures
2657,1-510 - Temporary Utilities
2665,1-540 - Construction Aids
2673,11-650 - Planetarium Equipment
2681,2-915 - Mulch
2689,12-700 - Systems Furniture
2697,2-300 - Earthwork
2705,11-400 - Food Service Equipment
2713,7-900 - Joint Sealers
2721,12-800 - Interior Plants and Planters
2729,1-540 - Construction Aids
2737,7-200 - Thermal Protection - Insulation
2745,13-260 - Sludge Conditioning Systems
2753,2-311 - Final Grading
2761,6-100 - Rough Carpentry
2769,2-300 - Earthwork
2777,11-500 - Industrial and Process Equipment
2785,11-110 - Commercial Laundry and Dry Cleaning Equipment
2793,11-120 - Vending Equipment
2801,6-100 - Rough Carpentry
2809,2-750 - Concrete Pads and Walks
2817,14 - Conveying Systems
2825,2-915 - Mulch
2833,12-700 - Systems Furniture
2841,2-625 - Retaining Wall Drainage Piping
2849,3-400 - Precast Concrete
2857,11-400 - Food Service Equipment
2865,2-917 - Soil Preparation
2873,16-800 - Sound and Video
2881,7-200 - Thermal Protection - Insulation
2889,8-400 - Entrances and Storefronts
2897,2-750 - Concrete Pads and Walks
2905,2-823 - PVC Fences and Gates
2913,9-600 - Flooring
2921,8-050 - Basic Door and Window Materials and Methods
2929,6-600 - Plastic Fabrications
2937,2-917 - Soil Preparation
2945,16 - Electrical
2953,11-100 - Mercantile Equipment
2961,2-312 - Rough Grading
2969,11-870 - Agricultural Equipment
2977,11-150 - Parking Control Equipment
2985,2 - Site Construction
2993,10-820 - Bathroom Accessories
3001,6-050 - Basic Wood and Plastic Materials and Methods
3009,3-320 - Slab Foundations
3017,2-900 - Landscaping
3025,6-500 - Structural Plastics
3033,1-712 - Local Conditions
3041,11-100 - Mercantile Equipment
3049,10-150 - Compartments and Cubicles
3057,11-040 - Ecclesiastical Equipment
3065,5-200 - Metal Joists
3073,5-050 - Basic Metal Materials and Methods
3081,5-700 - Ornamental Metal
3089,9 - Finishes
3097,11-190 - Detention Equipment
3105,4-900 - Masonry Restoration and Cleaning
3113,2-830 - Retaining Walls
3121,2-740 - Flexible Pavement Asphalt Pavement
3129,13-160 - Aquariums
3137,10-600 - Partitions
3145,13-220 - Filter Underdrains and Media
3153,3-330 - Poured Concrete Basement Walls
3161,11-170 - Solid Waste Handling Equipment
3169,8-800 - Glazing
3177,13-185 - Kennels and Animal Shelters
3185,13-185 - Kennels and Animal Shelters
3193,2-310 - Grading
3201,13-110 - Cathodic Protection
3209,4-800 - Masonry Assemblies
3217,10-550 - Postal Specialties
3225,13 - Special Construction
3233,11-900 - Exhibit Equipment
3241,7-600 - Flashing and Sheet Metal
3249,13-550 - Transportation Control Instrumentation
3257,5-600 - Hydraulic Fabrications
3265,1-523 - Sanitary Facilities
3273,2-540 - Septic Tank
3281,9-500 - Ceilings
3289,9-300 - Tile
3297,3-310 - Expansion Joints
3305,12-800 - Interior Plants and Planters
3313,2-822 - Ornamental Metal Fences and Gates
3321,2-740 - Flexible Pavement Asphalt Pavement
3329,11-090 - Checkroom Equipment
3337,13-165 - Aquatic Park Facilities
3345,2-821 - Chain Link Fences
3353,3 - Concrete
3361,9-800 - Acoustical Treatment
3369,2-830 - Retaining Walls
3377,12-400 - Furnishings and Accessories
3385,2-782 - Brick Pavers
3393,8-300 - Specialty Doors
3401,11-050 - Library Equipment
3409,1-010 - Project Manager
3417,15-600 - Refrigeration Equipment
3425,11-600 - Laboratory Equipment
3433,2-919 - Topsoil
3441,15-400 - Plumbing Fixtures and Equipment
3449,11-400 - Food Service Equipment
3457,1-002 - Instructions
3465,12 - Furnishings
3473,11-070 - Instrumental Equipment
3481,5 - Metals
3489,11-280 - Hydraulic Gates and Valves
3497,1-511 - Temporary Electricity
3505,2-370 - Erosion and Sedimentation Control
3513,9-700 - Wall Finishes
3521,1-511 - Temporary Electricity
3529,2-370 - Erosion and Sedimentation Control
3537,11-070 - Instrumental Equipment
3545,13-280 - Hazardous Material Remediation
3553,15-300 - Fire Protection Piping
3561,11-140 - Vehicle Service Equipment
3569,7-500 - Membrane Roofing
3577,12-600 - Multiple Seating
3585,11-060 - Theater and Stage Equipment
3593,1-511 - Temporary Electricity
3601,9-250 - Gypsum Wallboard
3609,5-200 - Metal Joists
3617,1-510 - Temporary Utilities
3625,1-904 - Hazardous Materials Removal and Disposal
3633,12-300 - Manufactured Casework
3641,12-800 - Interior Plants and Planters
3649,10-880 - Scales
3657,14-400 - Lifts
3665,2-316 - Backfilling
3673,9 - Finishes
3681,16-200 - Electrical Power
3689,13-020 - Building Modules
3697,11-080 - Registration Equipment
3705,12-300 - Manufactured Casework
3713,1-570 - Temporary Controls
3721,10-200 - Louvers and Vents
3729,8-100 - Doors
3737,15-300 - Fire Protection Piping
3745,15-050 - Basic Mechanical Materials and Methods
3753,1-523 - Sanitary Facilities
3761,12 - Furnishings
3769,10-600 - Partitions
3777,13-240 - Oxygenation Systems
3785,8-900 - Glazed Curtain Wall
3793,2-782 - Brick Pavers
3801,9-700 - Wall Finishes
3809,11-050 - Library Equipment
3817,11-070 - Instrumental Equipment
3825,"10-800 - Toilet, Bath, and Laundry Specialties"
3833,11-700 - Medical Equipment
3841,11-280 - Hydraulic Gates and Valves
3849,2-900 - Landscaping
3857,15-600 - Refrigeration Equipment
3865,1-520 - Construction Facilities
3873,2-823 - PVC Fences and Gates
3881,10-340 - Manufactured Exterior Specialties
3889,11-650 - Planetarium Equipment
3897,10-290 - Pest Control
3905,1-510 - Temporary Utilities
3913,"7-300 - Shingles, Roof Tiles, and Roof Coverings"
3921,11-090 - Checkroom Equipment
3929,10-880 - Scales
3937,3 - Concrete
3945,2-781 - Asphalt Pavers
3953,10-530 - Protective Covers
3961,4-400 - Stone
3969,1-740 - Cleaning
3977,1-500 - Temporary Facilities and Controls
3985,11-190 - Detention Equipment
3993,13-010 - Air-Supported Structures
4001,9-800 - Acoustical Treatment
4009,14-900 - Transportation
4017,2-310 - Grading
4025,1-550 - Vehicular Access and Parking
4033,11 - Equipment
4041,2-795 - Porous Paving
4049,6 - Wood and Plastics
4057,3-350 - Concrete Finishing
4065,13-850 - Detection and Alarm
4073,5-400 - Cold-Formed Metal Framing
4081,1-013 - Project Coordinator
4089,"13-080 - Sound, Vibration, and Seismic Control"
4097,2-750 - Concrete Pads and Walks
4105,14-100 - Dumbwaiters
4113,8-600 - Skylights
4121,10-150 - Compartments and Cubicles
4129,7-200 - Thermal Protection - Insulation
4137,11-400 - Food Service Equipment
4145,3-210 - Cast-In-Place Concrete
4153,11-400 - Food Service Equipment
4161,2-780 - Clay Unit Pavers
4169,5 - Metals
4177,13-400 - Measurement and Control Instrumentation
4185,2-812 - Drip Irrigation
4193,12-400 - Furnishings and Accessories
4201,2-310 - Grading
4209,16-400 - Low-Voltage Distribution
4217,"15-950 - Testing, Adjusting, and Balancing"
4225,10-270 - Access Flooring
4233,1-011 - Project Engineer
4241,16-050 - Basic Electrical Materials and Methods
4249,2-915 - Mulch
4257,10-200 - Louvers and Vents
4265,6-600 - Plastic Fabrications
4273,1-010 - Project Manager
4281,1-518 - Temporary Water
4289,15-300 - Fire Protection Piping
4297,2-317 - Select Borrow
4305,2-790 - Athletic Surfacing
4313,2-822 - Ornamental Metal Fences and Gates
4321,1-904 - Hazardous Materials Removal and Disposal
4329,13-600 - Solar and Wind Energy Equipment
4337,11-160 - Loading Dock Equipment
4345,1-511 - Temporary Electricity
4353,9-680 - Carpet
4361,2-230 - Site Clearing
4369,10-820 - Bathroom Accessories
4377,9-600 - Flooring
4385,11-600 - Laboratory Equipment
4393,6 - Wood and Plastics
4401,2-825 - Wood Fences and Gates
4409,2-200 - Site Preparation
4417,13 - Special Construction
4425,"1-514 - Temporary Heating, Cooling and Ventilation"
4433,11 - Equipment
4441,10-100 - Visual Display Boards
4449,2-917 - Soil Preparation
4457,8-100 - Doors
4465,9 - Finishes
4473,13-850 - Detection and Alarm
4481,2-250 - Shoring and Underpinning
4489,2-812 - Drip Irrigation
4497,1-012 - Superintendent
4505,13-175 - Ice Rinks
4513,1-640 - Owner Furnished Products
4521,11-010 - Maintenance Equipment
4529,1-523 - Sanitary Facilities
4537,1-515 - Temporary Lighting
4545,13 - Special Construction
4553,7-700 - Roof Specialties and Accessories
4561,12-700 - Systems Furniture
4569,13-900 - Fire Suppression
4577,11-900 - Exhibit Equipment
4585,2-812 - Drip Irrigation
4593,"1-514 - Temporary Heating, Cooling and Ventilation"
4601,4-200 - Masonry Units
4609,5-400 - Cold-Formed Metal Framing
4617,8-200 - Wood and Plastic Doors
4625,2-821 - Chain Link Fences
4633,12-900 - Furnishings Restoration and Repair
4641,11-870 - Agricultural Equipment
4649,11-780 - Mortuary Equipment
4657,8-700 - Hardware
4665,1-517 - Temporary Telephone
4673,1-520 - Construction Facilities
4681,16 - Electrical
4689,2-750 - Concrete Pads and Walks
4697,17-030 - Bond
4705,15-400 - Plumbing Fixtures and Equipment
4713,2-625 - Retaining Wall Drainage Piping
4721,12-050 - Fabrics
4729,13-090 - Radiation Protection
4737,3-500 - Cementitious Decks and Underlayments
4745,1-530 - Temporary Construction
4753,7-700 - Roof Specialties and Accessories
4761,4-800 - Masonry Assemblies
4769,13-110 - Cathodic Protection
4777,4-500 - Refractories
4785,"15-700 - Heating, Venting and Air Conditioning"
4793,3-500 - Cementitious Decks and Underlayments
4801,2-919 - Topsoil
4809,14-400 - Lifts
4817,10-340 - Manufactured Exterior Specialties
4825,13-550 - Transportation Control Instrumentation
4833,7 - Thermal and Moisture Protection
4841,11-450 - Residential Equipment
4849,2-915 - Mulch
4857,5-600 - Hydraulic Fabrications
4865,4-050 - Basic Masonry Materials and Methods
4873,11-080 - Registration Equipment
4881,6-600 - Plastic Fabrications
4889,10-500 - Lockers
4897,14-300 - Escalators and Moving Walks
4905,6-400 - Architectural Woodwork
4913,11-190 - Detention Equipment
4921,17-030 - Bond
4929,2-800 - Site Amenities
4937,2-812 - Drip Irrigation
4945,13-030 - Special Purpose Rooms
4953,2-930 - Exterior Plants
4961,4-400 - Stone
4969,11-600 - Laboratory Equipment
4977,2-830 - Retaining Walls
4985,9-900 - Paints and Coatings
4993,7-600 - Flashing and Sheet Metal
5001,6-600 - Plastic Fabrications
5009,10-260 - Wall and Corner Guards
5017,7-900 - Joint Sealers
5025,13-900 - Fire Suppression
5033,2-230 - Site Clearing
5041,10-670 - Storage Shelving
5049,12-700 - Systems Furniture
5057,1-520 - Construction Facilities
5065,1-520 - Construction Facilities
5073,11-450 - Residential Equipment
5081,10-550 - Postal Specialties
5089,1-600 - Product Requirements (Scope of Work)
5097,1-712 - Local Conditions
5105,1-523 - Sanitary Facilities
5113,3-050 - Concrete Subcontractor
5121,1-013 - Project Coordinator
5129,7-100 - Damproofing and Waterproofing
5137,3-540 - Cementitious Underlayments
5145,11-170 - Solid Waste Handling Equipment
5153,2-362 - Termite Control
5161,13-230 - Digester Covers and Appurtenances
5169,13-170 - Tubs and Pools
5177,10-270 - Access Flooring
5185,3-300 - Footings
5193,1-640 - Owner Furnished Products
5201,14-100 - Dumbwaiters
5209,10-200 - Louvers and Vents
5217,2-317 - Select Borrow
5225,11-090 - Checkroom Equipment
5233,14-200 - Elevators
5241,1-580 - Project Identification
5249,2 - Site Construction
5257,2-821 - Chain Link Fences
5265,14-400 - Lifts
5273,1-570 - Temporary Controls
5281,7-100 - Damproofing and Waterproofing
5289,11-280 - Hydraulic Gates and Valves
5297,2-823 - PVC Fences and Gates
5305,11-160 - Loading Dock Equipment
5313,"13-080 - Sound, Vibration, and Seismic Control"
5321,12-500 - Furniture
5329,13-110 - Cathodic Protection
5337,17-010 - Contingency
5345,11-110 - Commercial Laundry and Dry Cleaning Equipment
5353,13-600 - Solar and Wind Energy Equipment
5361,13-170 - Tubs and Pools
5369,11-060 - Theater and Stage Equipment
5377,11-050 - Library Equipment
5385,4-050 - Basic Masonry Materials and Methods
5393,10-300 - Fireplaces and Stoves
5401,1-012 - Superintendent
5409,15-300 - Fire Protection Piping
5417,7-700 - Roof Specialties and Accessories
5425,5-800 - Expansion Control
5433,11-170 - Solid Waste Handling Equipment
5441,10 - Specialties
5449,15-300 - Fire Protection Piping
5457,16-200 - Electrical Power
5465,4-900 - Masonry Restoration and Cleaning
5473,10-500 - Lockers
5481,7-100 - Damproofing and Waterproofing
5489,13-100 - Lightning Protection
5497,12-500 - Furniture
5505,2-813 - Lawn Sprinkling and Irrigation
5513,9-250 - Gypsum Wallboard
5521,3-500 - Cementitious Decks and Underlayments
5529,11-680 - Office Equipment
5537,12-050 - Fabrics
5545,1-570 - Temporary Controls
5553,6-400 - Architectural Woodwork
5561,2-250 - Shoring and Underpinning
5569,10-340 - Manufactured Exterior Specialties
5577,2-900 - Landscaping
5585,6-050 - Basic Wood and Plastic Materials and Methods
5593,2-917 - Soil Preparation
5601,6-050 - Basic Wood and Plastic Materials and Methods
5609,2-784 - Stone Unit Pavers
5617,1-600 - Product Requirements (Scope of Work)
5625,2-230 - Site Clearing
5633,2-830 - Retaining Walls
5641,16-500 - Lighting
5649,11-200 - Water Supply and Treatment Equipment
5657,3-600 - Grouts
5665,7-100 - Damproofing and Waterproofing
5673,13-900 - Fire Suppression
5681,9-800 - Acoustical Treatment
5689,7-200 - Thermal Protection - Insulation
5697,"15-700 - Heating, Venting and Air Conditioning"
5705,10-150 - Compartments and Cubicles
5713,11-300 - Fluid Waste Treatment and Disposal Equipment
5721,10-550 - Postal Specialties
5729,4-050 - Basic Masonry Materials and Methods
5737,12-100 - Art
5745,8-300 - Specialty Doors
5753,13-030 - Special Purpose Rooms
5761,16-700 - Communications
5769,8-500 - Windows
5777,13-100 - Lightning Protection
5785,1-011 - Project Engineer
5793,2-200 - Site Preparation
5801,11-050 - Library Equipment
5809,2-936 - Fertilizer
5817,13-280 - Hazardous Material Remediation
5825,1-002 - Instructions
5833,16 - Electrical
5841,11-110 - Commercial Laundry and Dry Cleaning Equipment
5849,1-630 - Product Substitution Procedures
5857,1-542 - Construction Scaffolding and Platforms
5865,11 - Equipment
5873,5-100 - Structural Metals
5881,1-542 - Construction Scaffolding and Platforms
5889,14-600 - Hoists and Cables
5897,7 - Thermal and Moisture Protection
5905,1-523 - Sanitary Facilities
5913,15-100 - Plumbing
5921,16-800 - Sound and Video
5929,10-550 - Postal Specialties
5937,16-100 - Electrical
5945,2-315 - Excavation
5953,7-400 - Roofing and Siding Panels
5961,10-520 - Fire Protection Specialties
5969,14-700 - Turntables
5977,2-220 - Site Demolition
5985,17 - Markup and Contingency
5993,5-700 - Ornamental Metal
6001,12-100 - Art
6009,5-200 - Metal Joists
6017,2-250 - Shoring and Underpinning
6025,1-640 - Owner Furnished Products
6033,2-850 - Bridges/Footbridges
6041,3 - Concrete
6049,10-200 - Louvers and Vents
6057,13-185 - Kennels and Animal Shelters
6065,4-400 - Stone
6073,11-900 - Exhibit Equipment
6081,2-915 - Mulch
6089,10-240 - Grilles and Screens
6097,3-210 - Cast-In-Place Concrete
6105,9-700 - Wall Finishes
6113,2-250 - Shoring and Underpinning
6121,13-500 - Recording Instrumentation
6129,2-311 - Final Grading
6137,13-700 - Security Access and Surveillance
6145,4 - Masonry
6153,8 - Doors and Windows
6161,2-936 - Fertilizer
6169,7-100 - Damproofing and Waterproofing
6177,10-350 - Flagpoles
6185,2-919 - Topsoil
6193,10-670 - Storage Shelving
6201,2-813 - Lawn Sprinkling and Irrigation
6209,3 - Concrete
6217,15-200 - Process Piping
6225,3-500 - Cementitious Decks and Underlayments
6233,2-316 - Backfilling
6241,16-200 - Electrical Power
6249,10-300 - Fireplaces and Stoves
6257,15-400 - Plumbing Fixtures and Equipment
6265,3-050 - Concrete Subcontractor
6273,13-160 - Aquariums
6281,1-530 - Temporary Construction
6289,2-316 - Backfilling
6297,15-050 - Basic Mechanical Materials and Methods
6305,6-200 - Finish Carpentry
6313,1-520 - Construction Facilities
6321,12-400 - Furnishings and Accessories
6329,7-900 - Joint Sealers
6337,15-800 - Air Distribution
6345,14-300 - Escalators and Moving Walks
6353,4-800 - Masonry Assemblies
6361,4-500 - Refractories
6369,1-550 - Vehicular Access and Parking
6377,3 - Concrete
6385,16-500 - Lighting
6393,7-800 - Fire and Smoke Protection
6401,13-800 - Building Automation and Control
6409,10-520 - Fire Protection Specialties
6417,2-300 - Earthwork
6425,10-820 - Bathroom Accessories
6433,2-240 - Dewatering
6441,2-230 - Site Clearing
6449,16-800 - Sound and Video
6457,3-050 - Concrete Subcontractor
6465,13-550 - Transportation Control Instrumentation
6473,2-900 - Landscaping
6481,2-917 - Soil Preparation
